	CRC_Effect	CRC_Pvalue	CRC_SE	T2D_Effect	T2D_Pvalue	T2D_SE	UC_Effect	UC_Pvalue	UC_SE	ACVD_Effect	ACVD_Pvalue	ACVD_SE	asthma_Effect	asthma_Pvalue	asthma_SE	migraine_Effect	migraine_Pvalue	migraine_SE	RE_Effect	RE_Pvalue	RE_stdErr	RE_conf_int	RE_Var	Zscore	Tau2_DL	Tau2_PM	RE_Qvalue	I2	CRC_Qvalue	CRC_SE_RE	T2D_Qvalue	T2D_SE_RE	UC_Qvalue	UC_SE_RE	ACVD_Qvalue	ACVD_SE_RE	asthma_Qvalue	asthma_SE_RE	migraine_Qvalue	migraine_SE_RE	CD_Effect	CD_Pvalue	CD_SE	schizofrenia_Effect	schizofrenia_Pvalue	schizofrenia_SE	BD_Effect	BD_Pvalue	BD_SE	ME/CFS_Effect	ME/CFS_Pvalue	ME/CFS_SE	CD_Qvalue	CD_SE_RE	schizofrenia_Qvalue	schizofrenia_SE_RE	BD_Qvalue	BD_SE_RE	ME/CFS_Qvalue	ME/CFS_SE_RE	cirrhosis_Effect	cirrhosis_Pvalue	cirrhosis_SE	STH_Effect	STH_Pvalue	STH_SE	cirrhosis_Qvalue	cirrhosis_SE_RE	STH_Qvalue	STH_SE_RE
s__Streptococcus_oralis	0.17413438724012253	0.0026268011613344022	0.05788390165437029	0.03329515106892902	0.8116055049739803	0.13968703811827693	0.29376247465863925	0.00690153617934275	0.10873815505637532	0.8124264631220106	1.1048028101973688e-11	0.11954413407380968	0.29493502922194875	0.18706151426473755	0.14290808286263662	0.04731872049885932	0.7706886642710793	0.133651971946134	0.3369195223583108	0.0040161444228472565	0.11711237436852429	0.10737926859600319;0.5664597761206184	0.013715308230233383	2.876890885143415	0.0911274739158004	0.10510542817872248	0.020616208037282584	0.8666300841492885	0.01861801590453313	0.05788390165437029	0.9719450082371268	0.13968703811827693	0.05276335121334642	0.10873815505637532	9.022556283278512e-10	0.11954413407380968	0.6039414603404384	0.14290808286263662	0.9126576287420676	0.133651971946134	NA	NA	NA	0.06900029682691204	0.6548270789666748	0.15389728304563588	NA	NA	NA	0.2709864296144349	0.18301626733117188	0.2029765527643199	NA	NA	0.8486129773457743	0.15389728304563588	NA	NA	0.3767981974465303	0.2029765527643199	1.026466038996661	1.4353051603917968e-13	0.13879388539880774	NA	NA	NA	2.85756209205276e-12	0.13879388539880774	NA	NA
s__Streptococcus_gordonii	-0.02444162128328918	0.7689755387697175	0.08321537774951751	0.2909231147635856	0.10087766053124714	0.17732580279318955	0.3691523992272263	0.0007132653530188549	0.10907376974050123	0.6284497945012392	9.605076182253633e-08	0.11770026417442807	0.21609360540181105	0.33322218441496754	0.14255164674604903	0.11085899377568148	0.4948752860775266	0.13373587773510245	0.3343583419751196	0.0006207986888169259	0.09769815590069907	0.14286995640974942;0.5258467275404898	0.009544929666397299	3.422360830586846	0.07502247013762439	0.057380339040214494	0.006401022720625048	0.8225101655617629	0.8733256980341868	0.08321537774951751	0.7234879310848019	0.17732580279318955	0.00878207965904465	0.10907376974050123	2.614715182946822e-06	0.11770026417442807	0.7804397534670714	0.14255164674604903	0.8247921434625444	0.13373587773510245	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3094937624065772	0.12886659729883407	0.20325734697261205	NA	NA	NA	NA	NA	NA	0.3215436902505565	0.20325734697261205	0.8027369142573844	3.4072898343335488e-09	0.13562070308010085	NA	NA	NA	3.391802153268397e-08	0.13562070308010085	NA	NA
s__Veillonella_parvula	0.10868472704745846	0.08598389169624499	0.06330015266706969	-0.07156619389736253	0.4377769095010746	0.09223009744068786	0.09527134722205294	0.6456959114294447	0.20722439411379487	0.3235831581891765	0.005192927431611642	0.11564770989441332	0.3301306867405056	0.1399627885308861	0.14310233230136984	0.3215159096018895	0.04861597145881095	0.13449387644789731	0.32522491646282825	0.03154765210947219	0.15126067586414876	0.028753991769096654;0.6216958411565598	0.022879792062879073	2.150095618737823	0.18862007373933817	0.23424576653481946	0.08188210828413568	0.9121739266859473	0.23697999418721175	0.06330015266706969	0.9592235912561108	0.09223009744068786	0.9021425145503588	0.20722439411379487	0.02156385119906529	0.11564770989441332	0.5185506591472173	0.14310233230136984	0.3217233405362489	0.13449387644789731	0.6080976814488971	0.4111264951500546	0.7398566361792377	0.4165148729803495	0.007577995053272804	0.15551074151029795	-0.2810982843356558	0.3073253887620297	0.2532804719723425	0.0483754489672696	0.8112754155036076	0.2020808858958316	0.5927870395186834	0.7398566361792377	0.1340664629570245	0.15551074151029795	0.7812631768509739	0.2532804719723425	0.8973065277165053	0.2020808858958316	1.7904422321224245	1.0360901509748354e-31	0.15441094314649964	0.33071427312211915	0.040048456108892135	0.1607112555619539	2.2690374306348893e-29	0.15441094314649964	0.09186002110808196	0.1607112555619539
s__Fusicatenibacter_saccharivorans	-0.21878972047957512	0.0031754717090990425	0.07416046273844383	0.06993976019388072	0.5518861214710578	0.1175584217628933	-0.3000564065222456	0.0058029599620970105	0.10876683562685496	0.017614812800429383	0.8782893605980632	0.11490047346080567	-0.08086627719582665	0.7169893465689838	0.14219549938630172	-0.2519394971573383	0.1216618073178486	0.13416236084326755	-0.32159203119157104	0.0013536764666277623	0.10036107074259712	-0.5182997298470614;-0.1248843325360807	0.010072344520600584	-3.204350340346408	0.07087799728173577	0.09061653700471776	0.011167830849679039	0.7944527724377645	0.02110754724283481	0.07416046273844383	0.9592235912561108	0.1175584217628933	0.049703613588396124	0.10876683562685496	0.9041214006156532	0.11490047346080567	0.9342475784524248	0.14219549938630172	0.4505957693598137	0.13416236084326755	-0.9861460140467124	0.20992132820561693	0.7865371936815153	-0.3733046559664416	0.016469548814964898	0.15518573540436156	-0.10693696137224701	0.6966563466853205	0.25221890549184445	-0.4872358064296523	0.017800422644511524	0.20502733968757267	0.40252955717778094	0.7865371936815153	0.18837046457116105	0.15518573540436156	0.8991034901665248	0.25221890549184445	0.08306863900772045	0.20502733968757267	-0.6529971268283481	1.1256589178250571e-06	0.13389984453183787	-1.1405882425641156	3.484671819834046e-11	0.1721139776968057	6.32100776932532e-06	0.13389984453183787	4.669460238577622e-09	0.1721139776968057
s__Eisenbergiella_massiliensis	0.04916658831779663	0.5840804974714828	0.08981278957124028	0.11346139857740932	0.25046153476881106	0.09872827012541624	0.5282572178007946	0.006535418272702875	0.19423833936451332	0.29063924271102753	0.011956343087321587	0.1155032517714976	0.4643053883457674	0.038437123171589815	0.14403980692901852	0.398627486677976	0.014721236943286971	0.13495392444548338	0.31941193059304196	7.007905122868863e-08	0.059249454812100075	0.2032829991613258;0.4355408620247581	0.003510497895531089	5.390968264703945	0.019635583316305036	0.01578238014910658	7.659170561336026e-06	0.5333055967588003	0.7664114307055054	0.08981278957124028	0.8146191971379356	0.09872827012541624	0.05276335121334642	0.19423833936451332	0.03951577687663985	0.1155032517714976	0.2957386592961096	0.14403980692901852	0.1919785083637596	0.13495392444548338	0.4535990548043681	9.294125978054346e-05	0.1160599410201799	NA	NA	NA	0.3341191585378179	0.2258196272419637	0.2537912721571461	0.6666143933589455	0.0013641593452461587	0.20758715722569712	0.0017287074319181086	0.1160599410201799	NA	NA	0.7412774720334028	0.2537912721571461	0.01909823083344622	0.20758715722569712	0.30354784208290136	0.020941091397150308	0.1312171589873337	NA	NA	NA	0.034481947488540735	0.1312171589873337	NA	NA
s__Ruminococcus_lactaris	-0.14349072913881988	0.15819016342360734	0.10168104161551246	-0.284587462831032	0.05909602847102913	0.15077655181689634	-0.0974284983392884	0.7212767647647622	0.2730979502075483	-0.22286313753337167	0.05342162238821113	0.11525436613847385	-0.02396137417414746	0.9144525511236988	0.14214251871336858	-0.3215572781605782	0.048587264916705564	0.13449409721641895	-0.31622789501175197	3.3034136013299076e-06	0.0679914869150137	-0.44949120936517883;-0.18296458065832513	0.0046228422929144785	-4.650992489795415	0.02621474992315718	0.029639009802873352	0.00012829207395159692	0.5355789516467476	0.3504997738601497	0.10168104161551246	0.5560399042501377	0.15077655181689634	0.9187451445953146	0.2730979502075483	0.12584901427992046	0.11525436613847385	0.9691421008875514	0.14214251871336858	0.3217233405362489	0.13449409721641895	-0.7203111385652542	5.879698625776975e-05	0.1792894677859338	-0.3252043467117579	0.03628811590157211	0.15486510810804222	-0.5149915159811961	0.06413899329029285	0.2561825692283485	-0.18084646523139555	0.37297238194842863	0.20246392563424984	0.0012786141740419588	0.1792894677859338	0.2554125080764499	0.15486510810804222	0.4035411661180925	0.2561825692283485	0.5440985364140667	0.20246392563424984	-0.2788503724250818	0.033747324823422284	0.1311004880219951	-0.8244753894162958	7.461603714010033e-07	0.16626718133994844	0.05317024558510417	0.1311004880219951	6.819279853277418e-06	0.16626718133994844
s__Clostridium_bolteae	0.197923397212968	0.01865150327020748	0.0841359386464833	0.3294807308850512	0.0003867644393311664	0.09283882470722253	0.09239943412189523	0.39325551895900746	0.10823048512894601	0.35792252049731266	0.002022268484500511	0.1158145568584516	0.6009669661456751	0.007592517185484444	0.14531041067862174	0.3818866900241437	0.01938645124759197	0.13484581724837338	0.3146671455309193	7.86301024291447e-09	0.054522098454414684	0.20780383256026652;0.42153045850157206	0.002972659219872888	5.771368939403698	0.010329104280166384	0.012586811709001715	1.8163553661132426e-06	0.37321947322811255	0.07527213819762305	0.0841359386464833	0.040030119470775734	0.09283882470722253	0.7378222593802329	0.10823048512894601	0.009714819190247552	0.1158145568584516	0.1559917167199531	0.14531041067862174	0.2295763963530628	0.13484581724837338	1.0349822642606359	0.028534054283914763	0.4726238508565618	0.2634205928247515	0.0891714254439433	0.15451730708203762	-0.030991339398511782	0.9099941909326272	0.2520539618953413	0.307713464308328	0.1310546674898624	0.20324355279912232	0.11292200205974776	0.4726238508565618	0.3885326394343244	0.15451730708203762	0.9798944599716314	0.2520539618953413	0.3215436902505565	0.20324355279912232	0.4669553054845848	0.0004239917106489143	0.13223402551993665	NA	NA	NA	0.0009672310899178357	0.13223402551993665	NA	NA
s__Odoribacter_splanchnicus	0.1456188303725069	0.1162728790551637	0.09271472620389552	-0.0326785063949359	0.7631796170596594	0.1084554773669784	-0.5119863812241128	3.1977501486757376e-06	0.10992277780717064	-0.16621552623183009	0.1491497327225742	0.11509647199345105	-0.547245508240214	0.014900236506762275	0.14477341177333455	-0.4133332485791135	0.011475364472108784	0.13505264042402348	-0.3095748244671883	0.0008184557319250718	0.09250769005451992	-0.4908898969740474;-0.12825975196032927	0.008557672719223124	-3.3464766473440064	0.08158491860221462	0.07386073537089487	0.007271664387488138	0.8078105064344162	0.29197411851629995	0.09271472620389552	0.9592235912561108	0.1084554773669784	0.00015748919482228008	0.10992277780717064	0.26868885674287263	0.11509647199345105	0.21046584065801716	0.14477341177333455	0.16137231288902978	0.13505264042402348	-0.4846906374448776	0.5072392358382039	0.7308995753317424	-0.11714370986948106	0.44811338528325984	0.15398340562285076	0.16459263977989552	0.5488460634362347	0.25246521691790963	-0.5466872426301782	0.008074084550001718	0.20579088414987134	0.6691240983397583	0.7308995753317424	0.7217738999343746	0.15398340562285076	0.8419715086173223	0.25246521691790963	0.04986934575001061	0.20579088414987134	-0.4728191995870305	0.0003600580322711317	0.13227835387127967	-0.8917548549839576	1.0453701881160596e-07	0.16736945573109893	0.0008388586070997643	0.13227835387127967	1.4007960520755198e-06	0.16736945573109893
s__Gemmiger_formicilis	-0.1860953583202543	0.00618783372020304	0.06797610946678692	-0.19003235609538904	0.039843766403351084	0.09245674561607403	-0.6792023468538361	1.0206613332286454e-09	0.11123258928372673	0.05493208958121662	0.6330189407387965	0.11491991260194825	-0.3351813947633629	0.13403423017095914	0.14313197944375908	-0.16051206726715536	0.32328709569991665	0.13384828347430816	-0.3040525585638804	0.003472195396769351	0.10403806489670556	-0.5079671657614233;-0.10013795136633752	0.010823918947451116	-2.9225126290628314	0.0971151542311125	0.10934396530639257	0.019562856991554144	0.8658950481988905	0.03388722512866385	0.06797610946678692	0.4863155375126045	0.09245674561607403	2.0107028264604312e-07	0.11123258928372673	0.7281203778450945	0.11491991260194825	0.5048622669772795	0.14313197944375908	0.6974478310003617	0.13384828347430816	-1.030001738112962	0.0	0.12196630562152985	0.08233073532341477	0.5937785830354584	0.15391667393173925	0.015807102705033882	0.9540184507708092	0.252042768665741	-0.6968922303776469	0.0008393508296576492	0.2080939789791796	0.0	0.12196630562152985	0.8231733817058107	0.15391667393173925	0.9882440977233242	0.252042768665741	0.01259026244486474	0.2080939789791796	-0.5336610207262023	6.0201956577525634e-05	0.13276994070117076	0.06455998111976645	0.6865808731947918	0.15966538841064482	0.0001910757752243205	0.13276994070117076	0.8000159739834964	0.15966538841064482
s__Streptococcus_mitis	0.1358668036771343	0.01535932947506069	0.05605543313932742	0.11970154580394125	0.5377435710981997	0.194248564744251	0.25670036662444434	0.018102897133500884	0.10860995729943937	0.8984522134943849	9.269981593666137e-14	0.12055569637406567	0.18951301128974984	0.39596229737403055	0.14245611672275815	0.04370618162129285	0.7877561783673799	0.1336492258795364	0.30096500647809243	0.009387693303222422	0.11586258359859393	0.07387434262484835;0.5280556703313365	0.013424138278141168	2.597603101280618	0.1076708699724327	0.11556882658923451	0.034976728274909344	0.8606823961987176	0.0654944992710135	0.05605543313932742	0.9592235912561108	0.194248564744251	0.10489031574410806	0.10860995729943937	2.2711454904482037e-11	0.12055569637406567	0.7845782390229405	0.14245611672275815	0.9234338148114872	0.1336492258795364	0.915146078884602	0.08014351989553202	0.5229842656021535	-0.02623331240249204	0.8649983982859446	0.15385812628910364	0.07122599307521786	0.795058495406007	0.2521187343596329	-0.012258003238719764	0.9517462825028606	0.2020532332130323	0.2254273490723652	0.5229842656021535	0.9224640316499912	0.15385812628910364	0.925533224179662	0.2521187343596329	0.9808755284125422	0.2020532332130323	0.9923396588255359	7.334333090493173e-13	0.13826479389142715	NA	NA	NA	1.3385157890150038e-11	0.13826479389142715	NA	NA
s__Hungatella_hathewayi	0.18708952001577045	0.026753302293970105	0.08446103748711617	0.24036632539582226	0.009423975227035752	0.09258111618737047	-0.053764189046300655	0.6191848861472424	0.10817615714635324	0.37378009203685403	0.0012756319530218075	0.1158971910984684	0.8054146902928447	0.00038156597242960987	0.14778782774127347	0.17414754450959355	0.2839791917359413	0.13388632941664733	0.29706290342394204	0.00022396532439339367	0.08049770252834315	0.13928740646838947;0.45483840037949463	0.006479880112341623	3.690327724811109	0.04229669988012128	0.04720010572521671	0.0030432935255808196	0.7091356057160774	0.09447259872558192	0.08446103748711617	0.39015257439928014	0.09258111618737047	0.8839088592101939	0.10817615714635324	0.0063781597651090365	0.1158971910984684	0.022879953638578303	0.14778782774127347	0.6583869070819929	0.13388632941664733	0.479954167123463	0.22240179725888165	0.39335140099965343	0.22390876590267164	0.14801485396002229	0.15433284147487766	-0.12857618822892553	0.6393638783451294	0.25229911487003737	0.4219696378575963	0.03941415257073815	0.20428751963334169	0.4136673429015199	0.39335140099965343	0.4672260759988615	0.15433284147487766	0.8760864839144252	0.25229911487003737	0.13794953399758353	0.20428751963334169	0.6101200710811435	5.040875473823718e-06	0.13346884593218866	NA	NA	NA	2.2079034575347888e-05	0.13346884593218866	NA	NA
